1. Balanced Code Generation (Default)

| Parameter            | Recommended Value | Effect                          |
|----------------------|-------------------|---------------------------------|
| Temperature          | 0.2–0.4           | Keeps output deterministic      |
| Top_p                | 0.9–0.95          | Balances creativity/accuracy    |
| Top_k                | 40–60             | Focuses on high-probability code tokens |
| Top_a                | 0.01–0.05         | Dynamic probability threshold   |
| Frequency Penalty    | 0.1–0.3           | Reduces variable/function repetition |
| Presence Penalty     | 0.0–0.2           | Encourages logic diversity      |
| Repetition Penalty   | 1.1–1.2           | Prevents duplicate code blocks  |
| Min_p                | 0.05–0.1          | Filters low-probability noise   |

2. High-Precision Code (Debugging/Refactoring)

| Parameter            | Recommended Value | Effect                          |
|----------------------|-------------------|---------------------------------|
| Temperature          | 0.1–0.2           | Minimizes randomness            |
| Top_p                | 0.8–0.9           | Strict token selection          |
| Top_k                | 20–30             | Restricts to safest tokens      |
| Top_a                | 0.05–0.1          | Higher threshold for precision  |
| Frequency Penalty    | 0.3–0.5           | Strong anti-repetition          |
| Presence Penalty     | 0.0               | Avoids unnecessary diversity    |
| Repetition Penalty   | 1.2–1.3           | Aggressive against duplicates   |
| Min_p                | 0.1               | Only allows confident tokens    |

3. Creative Exploration (Brainstorming)

| Parameter            | Recommended Value | Effect                          |
|----------------------|-------------------|---------------------------------|
| Temperature          | 0.5–0.7           | Encourages novelty              |
| Top_p                | 0.95–0.99         | Broad token sampling            |
| Top_k                | 80–100            | Allows uncommon tokens          |
| Top_a                | 0.001–0.01        | Lower threshold for creativity  |
| Frequency Penalty    | 0.0–0.1           | Permits repetition for flow     |
| Presence Penalty     | 0.3–0.5           | Promotes diverse ideas          |
| Repetition Penalty   | 1.0               | Minimizes constraints           |
| Min_p                | 0.01              | Allows bold guesses             |
